"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARID4A",47.8010160386252,-0.553077289593769,0.253148253574881,-2.18479599121615,0.0289038081182981,1
"TIMM9",0.149683486659548,-0.144339993027767,0.310564520147233,-0.464766525678265,0.642098661914766,1
"DAAM1",4.52891468821468,0.131090682223623,0.561435220391754,0.233492088601337,0.815379312184023,1
"L3HYPDH",1.53874290049338,0.720877107262952,0.562073276686241,1.28253225542576,0.199655997395903,1
"JKAMP",0.50459633458051,0.1769983423543,0.392225046009306,0.451267312363577,0.651796900782872,1
"RTN1",0.91267645705856,0.473697003399737,0.493312012834051,0.960238127343328,0.336935381835569,1
"LRRC9",0.0834388922725665,0,0.310564520147233,0,1,1
"DHRS7",0.622984330074864,-0.181571193473963,0.401097278482379,-0.452686176682546,0.650774734820839,1
"PPM1A",178.373512562591,-0.254229978598672,0.452948500825535,-0.561277889506904,0.574608112071303,1
"SIX6",0.100828315541874,-0.00142472478910002,0.310564520147233,-0.00458753236984247,0.996339691588732,1
"SIX1",14.9650253064579,-0.103899495166774,0.326406268106893,-0.318313418946809,0.750247206432526,1
"SIX4",1.11083166521095,0.150516407895842,0.395083391608438,0.380973766786474,0.70322271434435,1
"MNAT1",18.1774076343777,-0.54995998478817,0.462291844259724,-1.18963808602081,0.234188669710287,1
"SLC38A6",1.19224428276358,0.628230678199593,0.506221213420011,1.24102005515591,0.214598340272686,1
"HIF1A",12.3637102193711,-0.377486121421886,0.551461997970402,-0.684518829604187,0.493647603359421,1
"KCNH5",0.0834388922725665,0,0.310564520147233,0,1,1
"PPP2R5E",410.824435406847,0.0209667540629582,0.362427557071431,0.0578508826215603,0.953867407541984,1
"SYNE2",0.348347105228427,0.186496173218981,0.443762295852131,0.420261421400985,0.674294489223319,1
"MTHFD1",4.75373925060855,0.0438951833796988,0.412082206852872,0.106520453078846,0.915169428517804,1
"ZBTB1",4.09719839030087,0.00334310969802759,0.552502631893192,0.00605084845763028,0.995172150896069,1
"HSPA2",36.3460020053786,0.443417932355388,0.516925561223078,0.857798425185695,0.391003779506288,1
"BRF1",7.21108603045321,0.439014391220021,0.558205790404143,0.786474090321015,0.431589792481379,1
"BTBD6",52.9509268896853,-0.934682882601721,0.561627367996258,-1.66424027008589,0.0960644234693943,1
"JAG2",5.17133708876437,-0.31341940428371,0.563432717398568,-0.55626766889009,0.578027885732767,1
"CDCA4",11.307529901571,0.11966636885143,0.483909156117146,0.247290978768876,0.804683039925835,1
