"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AKT1",0.79016105105195,0.105253266252271,0.562375785560314,0.187158247127236,0.851536560298559,1
"ZBTB42",6.31015770996844,0.828806999385116,0.550926363861089,1.50438797950517,0.132481497531537,1
"CEP170B",0.508100860378891,0.563827388428634,0.523123884076597,1.07780853750137,0.28111920873087,1
"ASPG",0.131831994664955,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"RD3L",0.194686712365279,0.11238973982139,0.31058518451822,0.361864459168357,0.717453320078844,1
"PPP1R13B",46.2763391452989,0.0440937313267423,0.561564053023152,0.0785195047463702,0.937414815576406,1
"ZFYVE21",38.1676052848924,0.0411676556061525,0.547601100133215,0.075178182797912,0.940072942828191,1
"KLC1",45.4627121176027,-0.184649608291968,0.502546479770905,-0.367427921047509,0.713299847867623,1
"BAG5",1.15886824257876,0.103282915124454,0.56408109172193,0.183099410067389,0.854720018647556,1
"TRMT61A",0.116780562149834,0.0644648420602816,0.310564520147233,0.207573105999745,0.83556230527467,1
"CKB",6.0381788840111,-0.525113294812596,0.564222145031481,-0.9306853682308,0.352016340581245,1
"MARK3",64.1373244243367,-0.0441793046678352,0.305043021050255,-0.144829750622477,0.884845292267057,1
"EIF5",1850.86315606642,0.0419206475617778,0.367702268332951,0.114007040946016,0.909232211971216,1
"CDC42BPB",69.3361265117908,0.274719665250857,0.347174523263381,0.79130133936252,0.428768167041141,1
"TRAF3",0.732776571133961,0.384816582917125,0.448383794387555,0.858230354740506,0.390765277718566,1
"RCOR1",0.202316195678466,-0.030812003432163,0.310564520147233,-0.0992128895392029,0.92096924098009,1
"ANKRD9",0.38036380897846,-0.297868739866485,0.451225164943369,-0.660133261636391,0.509168315432471,1
"TECPR2",0.934871620812779,-0.277682402617749,0.440803175662235,-0.629946465790717,0.528729610432502,1
"MOK",0.0894148311998178,0,0.310564520147233,0,1,1
"WDR20",50.7256079252535,0.417409705097156,0.293570137493971,1.4218397983539,0.155072763105867,1
"HSP90AA1",160.705262561443,-0.205325936583366,0.527335079529355,-0.389365214934344,0.697006000228958,1
"DYNC1H1",43.0370881736658,-0.106088184679149,0.420963167305234,-0.252012985739976,0.80103102651452,1
"PPP2R5C",82.1305607504058,0.186826345109255,0.414069463897786,0.451195660145017,0.651848537233867,1
"DIO3",46.464104487977,0.111291868052196,0.534029420428028,0.208400256231192,NA,NA
"WARS",0.380333040763367,-0.169998389512979,0.440525776471924,-0.385898847678017,0.699571584071031,1
"SLC25A29",13.2692606389122,-0.379274044952762,0.561884149896514,-0.675003993301139,0.499673227865513,1
"YY1",445.757066727534,-0.0195768513627826,0.328080076096955,-0.0596709547122795,0.9524177052817,1
"EVL",88.527455437183,-0.105117260235526,0.564203687641067,-0.186310835143636,0.852201011011498,1
"EML1",9.94010850546421,-0.153622253115899,0.558074252976555,-0.27527206692754,0.783107223140106,1
"HHIPL1",2.35221463240514,-0.496491377992192,0.541937218548117,-0.91614187215693,0.359592488501666,1
"CCDC85C",0.856939351156964,0.338730197158805,0.399673542410957,0.847517188942448,0.396706910305262,1
"CCNK",9.36122957492629,-0.023897895997732,0.370600940034789,-0.0644841753382727,0.948584707136059,1
"SETD3",112.974297299196,-0.48764501809478,0.439449426407518,-1.1096726694611,0.267140104183195,1
"BCL11B",7.04124541092971,0.258701299143074,0.533076410824877,0.485298718701062,0.62746446425338,1
"VRK1",1.04285736589708,0.43469576389955,0.557448502110077,0.779795375275243,0.435511328954451,1
"PAPOLA",585.17296742529,0.35921162077267,0.281275929778169,1.27707913384542,0.201574310755565,1
"GSKIP",1.00015953676754,-0.0796177723422184,0.550449864798147,-0.144641278768258,0.884994104174532,1
"ATG2B",5.61470968722545,-0.27105061633451,0.551125451566061,-0.491812917665662,0.622851603778428,1
"CLMN",0.166877784545133,-0.126088848924608,0.310564520147233,-0.405998885078151,0.68474341961524,1
"DICER1",56.7796439350346,0.209959456671874,0.371546533568293,0.565095991222003,0.572008475035705,1
"GSC",0.0753109436008983,-0.0784504261783853,0.310564520147233,-0.252605887308677,0.800572780126633,1
"PPP4R4",6.1553968101534,-0.490356740938096,0.529826747821704,-0.92550393681353,0.354703836846351,1
"ASB2",0.369912613668085,-0.147273904734859,0.38688921649344,-0.380661694501782,0.703454295971992,1
"PRIMA1",0.140378572643487,-0.0784504261783853,0.310564520147233,-0.252605887308677,0.800572780126633,1
"BTBD7",13.6564647784044,0.160840530976121,0.428678369476517,0.375200948843143,0.707511024584434,1
"UBR7",4.72319986533291,0.230129779419506,0.480363964931865,0.479073777842907,0.631886143574199,1
"TMEM251",1.32542846364075,0.610666779458267,0.560479626660556,1.08954322407174,0.27591440465211,1
"ITPK1",0.219599280704628,0.0997831045866309,0.370812098924934,0.269093443487751,0.787857775752479,1
"GOLGA5",0.494256761013472,0.187073002003189,0.330504608814431,0.566022370079036,0.571378573626719,1
"LGMN",0.970928113554194,0.417703809915595,0.52809308753831,0.790966251542336,0.4289636855309,1
"RIN3",0.299494249402759,0.0313411277413935,0.387702572942336,0.0808380700276005,0.935570731624195,1
"CPSF2",30.1752819154826,-0.00198876152258152,0.316662334760025,-0.00628038545881581,0.994989010348154,1
"ATXN3",4.42283110045625,0.608959609891963,0.522663536064279,1.16510827305365,0.243975168497548,1
"TRIP11",7.29331999226094,0.196973772899134,0.469662486443872,0.419394306729826,0.674927984240294,1
"FBLN5",1.59692311970441,0.335943742389278,0.543917867166424,0.617636894591089,0.536814718557378,1
"PPP4R3A",196.799724403037,0.463199472551073,0.243073414279294,1.90559495749236,0.0567027768661515,1
"CCDC88C",0.0974192168881866,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"DGLUCY",1.00406335032337,0.245900359089425,0.536791712166226,0.458092689429001,0.646885850905866,1
"RPS6KA5",0.120589453701023,-0.030812003432163,0.310564520147233,-0.099212889539203,0.92096924098009,1
"TTC7B",37.0222761895215,0.0753497270126097,0.489638351604342,0.153888531741274,0.877697626733899,1
"CALM1",496.599453575006,-0.00750828924999194,0.564050343374424,-0.0133113814009468,0.989379367948207,1
"PSMC1",62.9815021594406,-0.0443232705667516,0.346514289259027,-0.127911811837633,0.898218763341304,1
"TDP1",0.296668926121986,-0.0284971720677963,0.310724507793102,-0.0917120193389165,0.926926847589608,1
"FOXN3",96.9210697680961,0.842742967474038,0.473228464112907,1.7808374419189,0.0749390107908707,1
"TTC8",0.176139259142773,-0.0784504261783853,0.310564520147233,-0.252605887308677,0.800572780126633,1
"EML5",12.0329774609885,0.281968837386028,0.454994586461444,0.619719103866573,0.535442736043561,1
"ZC3H14",3.56228497610209,-0.165380261669747,0.524947902175086,-0.315041285019913,0.752730307780536,1
"PTPN21",7.81998981527597,-0.392683596744823,0.563171241083429,-0.697272104998434,0.485632521781088,1
"KCNK10",0.0834388922725665,-0.0784504261783854,0.310564520147233,-0.252605887308677,0.800572780126633,1
"GALC",0.138988697714317,-0.126088848924608,0.310564520147233,-0.405998885078151,0.68474341961524,1
"FLRT2",7.21429910432946,0.662492008502794,0.500469670887839,1.32374057218597,0.185589218917292,1
"SEL1L",5.12230384507991,0.292868130055909,0.480702760399875,0.609249944419468,0.54235878004009,1
"STON2",0.103769982722815,0.0644648420602815,0.310564520147233,0.207573105999745,0.83556230527467,1
"GTF2A1",76.4167381723264,0.0323616049720696,0.341891939673549,0.0946544835276598,0.924589272465576,1
"CEP128",1.82484196574778,0.205876871354195,0.49825386084129,0.413196740726859,0.679462475868081,1
"DIO2",1.00484958110242,0.10353071519985,0.486008362502619,0.2130224975281,0.83130941490695,1
"LOC114591398",0.795816580757762,-0.108843943858826,0.395308050523625,-0.275339557883152,0.783055375698047,1
"LOC114590994",0.430281807867437,-0.151487386669541,0.328663562367883,-0.460919323024852,0.644856487884279,1
"SNW1",106.009109298223,0.281256202884977,0.211545487425277,1.32953061919756,0.183672970897109,1
"SPTLC2",0.682728649876997,-0.175335383245989,0.40109279475313,-0.4371441859331,0.662006784353911,1
"AHSA1",0.973007826577841,-0.0155048914903477,0.560007598671518,-0.0276869305472448,0.977911847621268,1
"VIPAS39",0.0890355527898639,0.0644648420602815,0.310564520147233,0.207573105999745,0.83556230527467,1
"GSTZ1",0.131831994664955,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"POMT2",0.68985419636561,-0.174464281953338,0.448658783894708,-0.388857386093843,0.697381647013402,1
"TMEM63C",0.958190576799888,0.287087153261047,0.446171187799402,0.643446195342674,0.519934616612331,1
"IRF2BPL",393.2175374084,0.109667674767712,0.45412708543052,0.241491155859477,0.809174470286263,1
"ANGEL1",0.231950973316259,-0.028497151775925,0.310724507885553,-0.0917119540066056,0.926926899498486,1
"VASH1",11.8175793486338,0.334390943629681,0.426094814270695,0.784780599130326,0.432582216952094,1
"ESRRB",0.147919998721823,0.0168264193140593,0.310564520147233,0.0541801082302709,0.95679166873566,1
"GPATCH2L",0.423616789597885,-0.11240597443414,0.482008500024368,-0.233203303320289,0.81560354088338,1
"IFT43",0.182664462652344,-0.0784504261783853,0.310564520147233,-0.252605887308677,0.800572780126633,1
"TGFB3",0.732935530306487,0.389569583885763,0.529092320353988,0.736297936861232,0.461549401511886,1
"TTLL5",0.438797519297723,0.195455217121795,0.389663245729473,0.501600341484328,0.615948679153225,1
"ERG28",0.306704416584511,0.101364962731712,0.385498711405289,0.26294501053505,0.792592963202488,1
"JDP2",19.5881923887691,-0.225953342750141,0.499903900324217,-0.451993558369113,0.651273623022943,1
"FOS",13.5146806818917,-0.568591416075946,0.559072750418077,-1.01702580862822,0.309141152015453,1
"LOC114591843",0.597721457529929,-0.0560663810340796,0.491480954712112,-0.114076406209719,0.909177225228811,1
"LOC114591848",12.7838706678439,0.329790696030799,0.51536570764325,0.639915871661157,0.522227294754699,1
"MLH3",0.145102982390005,0.0644648420602815,0.310564520147233,0.207573105999745,0.83556230527467,1
"EIF2B2",0.0588844459319588,-0.0784504261783854,0.310564520147233,-0.252605887308677,0.800572780126633,1
"DLST",97.9312048207478,-0.266614808825658,0.371717199336139,-0.71725174218953,0.473218777919047,1
"PROX2",0.206026070976878,0.0168264193140593,0.310564520147233,0.054180108230271,0.95679166873566,1
"YLPM1",31.5173152137922,-0.395059692716035,0.436638049445083,-0.904776148615794,0.365583989957079,1
"FCF1",6.54942203874355,0.589333699147273,0.496481689817036,1.18702000745376,0.23521972876326,1
"AREL1",27.9327881034344,0.735802908733817,0.409832917154115,1.79537288962351,0.0725943088630686,1
"LTBP2",0.193454224248602,0.0116897422393892,0.310690222475121,0.0376250728016564,0.969986616867638,1
"NPC2",0.0604015550896564,-0.0784504261783854,0.310564520147233,-0.252605887308677,0.800572780126633,1
"LOC114592008",8.00612315783962,0.205684682690521,0.564058188410445,0.364651532265056,0.715371542452926,1
"VSX2",0.197873143646275,-0.17372727167083,0.310564520147233,-0.559391882847625,0.575894299895849,1
"LIN52",2.83483277167287,-0.236584183796161,0.557688763367885,-0.424222611851506,0.671403471629514,1
"ALDH6A1",8.40587418686372,-0.293505183908139,0.422621676668664,-0.694486819090085,0.487376964064126,1
"ENTPD5",0.295648146360074,0.0198079591263633,0.315663975804693,0.0627501414308323,0.949965468947028,1
"COQ6",3.83896105713957,0.418331116280981,0.501902223593133,0.833491259086552,0.404567725496064,1
"ZNF410",0.759774347478707,-0.0433997416339528,0.51927948562218,-0.0835768460638359,0.933392876678879,1
"FBXO33",377.682942488306,0.496044944279959,0.449107623992666,1.10451241034389,0.269370923102641,1
"MIA2",16.8206160082258,0.22562446267909,0.541659552749065,0.416542940180758,0.677012752813322,1
"PNN",314.008751706293,-0.494864152440374,0.26544847446425,-1.86425690876224,0.0622856350327133,1
"TRAPPC6B",0.608131585960202,-0.543854777409354,0.459092133506453,-1.18463100915169,0.2361633710044,1
"GEMIN2",0.804498133829192,-0.0194955967275526,0.520041156154993,-0.037488565081457,0.970095457482216,1
