"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSPA2",36.3460020053786,0.458424927036769,0.517340523207744,0.886118342700719,0.375553759754512,1
"BRF1",7.21108603045321,-0.0799380510721973,0.559501102278206,-0.142873804442389,0.88638984732462,1
"BTBD6",52.9509268896853,-0.717137692768838,0.561648465700608,-1.27684439033279,0.201657190149039,1
"JAG2",5.17133708876437,-0.192896852910215,0.563299613704734,-0.342440946553403,0.73201907815347,1
"CDCA4",11.307529901571,0.0056058416955745,0.487118345693894,0.0115081719773642,0.990818009930745,1
"LOC114605788",0.321169851602403,-0.111265044516848,0.390870089622129,-0.284659909957329,0.775904707616807,1
"ADSSL1",13.8311794300221,0.185650458321791,0.519551093151109,0.357328587638628,0.720845830941839,1
"AKT1",0.79016105105195,0.0814884865441637,0.557131317767995,0.14626441548938,0.883712656032645,1
"ZBTB42",6.31015770996844,-0.980755377042002,0.55221128335873,-1.77605095476631,0.0757245189768537,1
"CEP170B",0.508100860378891,-0.224741320650847,0.512747682463509,-0.438307823393899,0.661163155463874,1
"ASPG",0.131831994664955,-0.0658895668493817,0.310564520147233,-0.212160638369588,0.831981713716352,1
"RD3L",0.194686712365279,0,0.310564520147233,0,1,1
"PPP1R13B",46.2763391452989,0.344142906225434,0.561449286846914,0.612954570052323,0.539906379113972,1
"ZFYVE21",38.1676052848924,-0.367357529864434,0.547757153510742,-0.670657658252252,0.502438642353556,1
"KLC1",45.4627121176027,0.479625455584453,0.503988821334073,0.951658916391977,0.341269991400591,1
"BAG5",1.15886824257876,0.35081074994461,0.561852309510003,0.624382500537473,0.532376414731111,1
"TRMT61A",0.116780562149834,0,0.310564520147233,0,1,1
"CKB",6.0381788840111,-0.170364303745815,0.564233358653728,-0.301939438944743,0.762698230069258,1
"MARK3",64.1373244243367,0.026435167263105,0.307970001851478,0.0858368253537033,0.931596132097578,1
"EIF5",1850.86315606642,0.13341051469053,0.36779739565204,0.362728274500196,0.716807876176159,1
"CDC42BPB",69.3361265117908,-0.104672926595431,0.349862151276603,-0.299183338962197,0.764800161005724,1
"TRAF3",0.732776571133961,-0.562171336409699,0.444404310662346,-1.26499973767543,0.205871421905313,1
"RCOR1",0.202316195678466,-0.0182511441031594,0.310564520147233,-0.0587676406001136,0.953137182957022,1
"ANKRD9",0.38036380897846,0.185693116631047,0.450560909915543,0.41213765452013,0.680238530753852,1
"TECPR2",0.934871620812779,0.313162048073931,0.435547452667046,0.719007874242643,0.472136068016043,1
"MOK",0.0894148311998178,-0.0658895668493817,0.310564520147233,-0.212160638369588,0.831981713716351,1
"WDR20",50.7256079252535,-0.295159174301254,0.29811724814553,-0.990077481720107,0.322136248904636,1
"HSP90AA1",160.705262561443,-0.0400322333827075,0.527429629532054,-0.0759006152502749,0.939498167374384,1
"DYNC1H1",43.0370881736658,0.262326983277498,0.423750127302439,0.619060541521136,0.535876476337816,1
"PPP2R5C",82.1305607504058,0.223197038314704,0.416100739506813,0.536401445907668,0.591681132326666,1
"DIO3",46.464104487977,-1.58412314249807,0.534306491495678,-2.96482106751811,NA,NA
"WARS",0.380333040763367,0.172933773275264,0.438501835873084,0.394374114605341,0.693304851977075,1
"SLC25A29",13.2692606389122,-0.151263676045015,0.561912001660711,-0.269194599150687,0.787779936180244,1
"YY1",445.757066727534,-0.2189190183503,0.328299193032138,-0.666827768683762,0.504882153185272,1
"EVL",88.527455437183,0.458503930661935,0.564194132864858,0.812670504625331,0.41640699644392,1
"EML1",9.94010850546421,0.0427830507303312,0.557737933800174,0.0767081601189054,0.93885571283466,1
"HHIPL1",2.35221463240514,-0.154664937596237,0.542240089299413,-0.2852333138925,0.775465399175901,1
"CCDC85C",0.856939351156964,0.0766280482293977,0.393535566222728,0.194716957770543,0.845614535629325,1
"CCNK",9.36122957492629,0.0142560903752009,0.383585215340374,0.0371653802207959,0.970353142112788,1
"SETD3",112.974297299196,-0.0494257080928707,0.439505120561206,-0.112457638786458,0.910460555970533,1
"BCL11B",7.04124541092971,-0.0057242269343243,0.531898546717849,-0.0107618773723794,0.991413429946213,1
"VRK1",1.04285736589708,-0.251850608057198,0.552050781798301,-0.456209132132367,0.648239599147974,1
"PAPOLA",585.17296742529,-0.205484038893362,0.281732974093666,-0.72935743341511,0.465783048630857,1
"GSKIP",1.00015953676754,0.00792411787085219,0.545720771312316,0.0145204622719358,0.988414754451846,1
"ATG2B",5.61470968722545,0.306479685502318,0.553353140336063,0.553859123879168,0.579675261583481,1
"CLMN",0.166877784545133,0.0770257013892853,0.310564520147233,0.248018354938834,0.804120205224849,1
"DICER1",56.7796439350346,-0.0251930232785852,0.374455794969303,-0.0672790316428417,0.946359569385327,1
"GSC",0.0753109436008983,0.029387278643063,0.310564520147233,0.0946253571693604,0.924612408095213,1
"PPP4R4",6.1553968101534,0.676855653437844,0.528259628169889,1.28129354836892,0.200090578141442,1
"ASB2",0.369912613668085,0.126007529840938,0.385689368098301,0.326707294168459,0.743889282797488,1
"PRIMA1",0.140378572643487,-0.0182511441031594,0.310564520147233,-0.0587676406001137,0.953137182957022,1
